Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Kareem Hunt (40392380),Kareem Hunt,40392380,RB/FLEX,4800,LV@KC 10/19/2025 01:00PM ET,KC,8.2
WR,Josh Downs (40392632),Josh Downs,40392632,WR/FLEX,4800,IND@LAC 10/19/2025 04:05PM ET,IND,8.95
RB,Michael Carter (40392382),Michael Carter,40392382,RB/FLEX,4800,GB@ARI 10/19/2025 04:25PM ET,ARI,8.93
RB,Kyle Monangai (40392386),Kyle Monangai,40392386,RB/FLEX,4700,NO@CHI 10/19/2025 01:00PM ET,CHI,3.38
QB,Geno Smith (40392286),Geno Smith,40392286,QB,4700,LV@KC 10/19/2025 01:00PM ET,LV,14.02
TE,Travis Kelce (40392968),Travis Kelce,40392968,TE/FLEX,4700,LV@KC 10/19/2025 01:00PM ET,KC,12.02
RB,Will Shipley (40392384),Will Shipley,40392384,RB/FLEX,4700,PHI@MIN 10/19/2025 01:00PM ET,PHI,1
WR,Matthew Golden (40392634),Matthew Golden,40392634,WR/FLEX,4700,GB@ARI 10/19/2025 04:25PM ET,GB,7.94
WR,Hollywood Brown (40392638),Hollywood Brown,40392638,WR/FLEX,4600,LV@KC 10/19/2025 01:00PM ET,KC,13.03
QB,Cam Ward (40392287),Cam Ward,40392287,QB,4600,NE@TEN 10/19/2025 01:00PM ET,TEN,8.61
WR,Kayshon Boutte (40392636),Kayshon Boutte,40392636,WR/FLEX,4600,NE@TEN 10/19/2025 01:00PM ET,NE,11.52
RB,RJ Harvey (40392388),RJ Harvey,40392388,RB/FLEX,4600,NYG@DEN 10/19/2025 04:05PM ET,DEN,8.03
RB,Jeremy McNichols (40392390),Jeremy McNichols,40392390,RB/FLEX,4600,WAS@DAL 10/19/2025 04:25PM ET,WAS,4.48
WR,Rashid Shaheed (40392640),Rashid Shaheed,40392640,WR/FLEX,4500,NO@CHI 10/19/2025 01:00PM ET,NO,12.18
TE,Dallas Goedert (40392970),Dallas Goedert,40392970,TE/FLEX,4500,PHI@MIN 10/19/2025 01:00PM ET,PHI,16.26
RB,Tyrone Tracy Jr. (40392392),Tyrone Tracy Jr.,40392392,RB/FLEX,4500,NYG@DEN 10/19/2025 04:05PM ET,NYG,5.2
RB,Hassan Haskins (40392394),Hassan Haskins,40392394,RB/FLEX,4500,IND@LAC 10/19/2025 04:05PM ET,LAC,0.97
QB,Jacoby Brissett (40392288),Jacoby Brissett,40392288,QB,4500,GB@ARI 10/19/2025 04:25PM ET,ARI,8.3
QB,Dillon Gabriel (40392289),Dillon Gabriel,40392289,QB,4400,MIA@CLE 10/19/2025 01:00PM ET,CLE,7.42
QB,Shedeur Sanders (40392290),Shedeur Sanders,40392290,QB,4400,MIA@CLE 10/19/2025 01:00PM ET,CLE,0
RB,Jerome Ford (40392396),Jerome Ford,40392396,RB/FLEX,4400,MIA@CLE 10/19/2025 01:00PM ET,CLE,5.33
RB,Ollie Gordon II (40392398),Ollie Gordon II,40392398,RB/FLEX,4400,MIA@CLE 10/19/2025 01:00PM ET,MIA,2.57
WR,Jerry Jeudy (40392644),Jerry Jeudy,40392644,WR/FLEX,4400,MIA@CLE 10/19/2025 01:00PM ET,CLE,7.33
WR,Christian Watson (40392642),Christian Watson,40392642,WR/FLEX,4400,GB@ARI 10/19/2025 04:25PM ET,GB,0
QB,Tyson Bagent (40392291),Tyson Bagent,40392291,QB,4300,NO@CHI 10/19/2025 01:00PM ET,CHI,1.78
WR,Luther Burden III (40392648),Luther Burden III,40392648,WR/FLEX,4300,NO@CHI 10/19/2025 01:00PM ET,CHI,7.14
RB,Isaiah Davis (40392400),Isaiah Davis,40392400,RB/FLEX,4300,CAR@NYJ 10/19/2025 01:00PM ET,NYJ,2.58
RB,Trevor Etienne (40392404),Trevor Etienne,40392404,RB/FLEX,4300,CAR@NYJ 10/19/2025 01:00PM ET,CAR,1.58
WR,Darius Slayton (40392646),Darius Slayton,40392646,WR/FLEX,4300,NYG@DEN 10/19/2025 04:05PM ET,NYG,5.52
RB,Emari Demercado (40392402),Emari Demercado,40392402,RB/FLEX,4300,GB@ARI 10/19/2025 04:25PM ET,ARI,2.88
RB,Roschon Johnson (40392408),Roschon Johnson,40392408,RB/FLEX,4200,NO@CHI 10/19/2025 01:00PM ET,CHI,0.15
TE,Darren Waller (40392972),Darren Waller,40392972,TE/FLEX,4200,MIA@CLE 10/19/2025 01:00PM ET,MIA,15.23
RB,Zavier Scott (40392406),Zavier Scott,40392406,RB/FLEX,4200,PHI@MIN 10/19/2025 01:00PM ET,MIN,5.8
RB,A.J. Dillon (40392410),A.J. Dillon,40392410,RB/FLEX,4200,PHI@MIN 10/19/2025 01:00PM ET,PHI,1.47
QB,Tyrod Taylor (40392292),Tyrod Taylor,40392292,QB,4200,CAR@NYJ 10/19/2025 01:00PM ET,NYJ,13.51
WR,Josh Reynolds (40392650),Josh Reynolds,40392650,WR/FLEX,4200,CAR@NYJ 10/19/2025 01:00PM ET,NYJ,4.3
WR,Elic Ayomanor (40392652),Elic Ayomanor,40392652,WR/FLEX,4200,NE@TEN 10/19/2025 01:00PM ET,TEN,8.1
QB,Russell Wilson (40392293),Russell Wilson,40392293,QB,4200,NYG@DEN 10/19/2025 04:05PM ET,NYG,10.57
RB,Dylan Sampson (40392416),Dylan Sampson,40392416,RB/FLEX,4100,MIA@CLE 10/19/2025 01:00PM ET,CLE,5.63
RB,Brashard Smith (40392414),Brashard Smith,40392414,RB/FLEX,4100,LV@KC 10/19/2025 01:00PM ET,KC,3.3
TE,Hunter Henry (40392974),Hunter Henry,40392974,TE/FLEX,4100,NE@TEN 10/19/2025 01:00PM ET,NE,10.95
WR,Alec Pierce (40392656),Alec Pierce,40392656,WR/FLEX,4100,IND@LAC 10/19/2025 04:05PM ET,IND,8.22
RB,Chris Rodriguez Jr. (40392412),Chris Rodriguez Jr.,40392412,RB/FLEX,4100,WAS@DAL 10/19/2025 04:25PM ET,WAS,2.62
WR,Luke McCaffrey (40392654),Luke McCaffrey,40392654,WR/FLEX,4100,WAS@DAL 10/19/2025 04:25PM ET,WAS,7.65
QB,Tyler Shough (40392329),Tyler Shough,40392329,QB,4000,NO@CHI 10/19/2025 01:00PM ET,NO,0
QB,Jake Haener (40392330),Jake Haener,40392330,QB,4000,NO@CHI 10/19/2025 01:00PM ET,NO,0
QB,Case Keenum (40392331),Case Keenum,40392331,QB,4000,NO@CHI 10/19/2025 01:00PM ET,CHI,0
RB,Devin Neal (40392558),Devin Neal,40392558,RB/FLEX,4000,NO@CHI 10/19/2025 01:00PM ET,NO,0.45
RB,Velus Jones Jr. (40392560),Velus Jones Jr.,40392560,RB/FLEX,4000,NO@CHI 10/19/2025 01:00PM ET,NO,0
RB,Travis Homer (40392562),Travis Homer,40392562,RB/FLEX,4000,NO@CHI 10/19/2025 01:00PM ET,CHI,0
RB,Deion Hankins (40392564),Deion Hankins,40392564,RB/FLEX,4000,NO@CHI 10/19/2025 01:00PM ET,CHI,0
RB,Brittain Brown (40392566),Brittain Brown,40392566,RB/FLEX,4000,NO@CHI 10/19/2025 01:00PM ET,CHI,0
QB,Zach Wilson (40392325),Zach Wilson,40392325,QB,4000,MIA@CLE 10/19/2025 01:00PM ET,MIA,1.58
QB,Quinn Ewers (40392326),Quinn Ewers,40392326,QB,4000,MIA@CLE 10/19/2025 01:00PM ET,MIA,0
QB,Deshaun Watson (40392327),Deshaun Watson,40392327,QB,4000,MIA@CLE 10/19/2025 01:00PM ET,CLE,0
QB,Bailey Zappe (40392328),Bailey Zappe,40392328,QB,4000,MIA@CLE 10/19/2025 01:00PM ET,CLE,0
RB,Jaylen Wright (40392544),Jaylen Wright,40392544,RB/FLEX,4000,MIA@CLE 10/19/2025 01:00PM ET,MIA,0
RB,Alexander Mattison (40392546),Alexander Mattison,40392546,RB/FLEX,4000,MIA@CLE 10/19/2025 01:00PM ET,MIA,0
RB,Alec Ingold (40392548),Alec Ingold,40392548,RB/FLEX,4000,MIA@CLE 10/19/2025 01:00PM ET,MIA,1.32
RB,JaMycal Hasty (40392550),JaMycal Hasty,40392550,RB/FLEX,4000,MIA@CLE 10/19/2025 01:00PM ET,MIA,0
RB,Jeff Wilson Jr. (40392552),Jeff Wilson Jr.,40392552,RB/FLEX,4000,MIA@CLE 10/19/2025 01:00PM ET,MIA,0
RB,Raheim Sanders (40392554),Raheim Sanders,40392554,RB/FLEX,4000,MIA@CLE 10/19/2025 01:00PM ET,CLE,6.3
RB,Ahmani Marshall (40392556),Ahmani Marshall,40392556,RB/FLEX,4000,MIA@CLE 10/19/2025 01:00PM ET,CLE,0
QB,Gardner Minshew II (40392295),Gardner Minshew II,40392295,QB,4000,LV@KC 10/19/2025 01:00PM ET,KC,-0.3
QB,Kenny Pickett (40392321),Kenny Pickett,40392321,QB,4000,LV@KC 10/19/2025 01:00PM ET,LV,0
QB,Aidan O'Connell (40392322),Aidan O'Connell,40392322,QB,4000,LV@KC 10/19/2025 01:00PM ET,LV,0
QB,Cam Miller (40392323),Cam Miller,40392323,QB,4000,LV@KC 10/19/2025 01:00PM ET,LV,0
QB,Chris Oladokun (40392324),Chris Oladokun,40392324,QB,4000,LV@KC 10/19/2025 01:00PM ET,KC,0
RB,Dylan Laube (40392530),Dylan Laube,40392530,RB/FLEX,4000,LV@KC 10/19/2025 01:00PM ET,LV,0.65
RB,Zamir White (40392532),Zamir White,40392532,RB/FLEX,4000,LV@KC 10/19/2025 01:00PM ET,LV,1.85
RB,Chris Collier (40392534),Chris Collier,40392534,RB/FLEX,4000,LV@KC 10/19/2025 01:00PM ET,LV,0
RB,Elijah Mitchell (40392536),Elijah Mitchell,40392536,RB/FLEX,4000,LV@KC 10/19/2025 01:00PM ET,KC,0
RB,Keaontay Ingram (40392538),Keaontay Ingram,40392538,RB/FLEX,4000,LV@KC 10/19/2025 01:00PM ET,KC,0
RB,Clyde Edwards-Helaire (40392540),Clyde Edwards-Helaire,40392540,RB/FLEX,4000,LV@KC 10/19/2025 01:00PM ET,KC,0
RB,Carson Steele (40392542),Carson Steele,40392542,RB/FLEX,4000,LV@KC 10/19/2025 01:00PM ET,KC,0
RB,Raheem Mostert (40392574),Raheem Mostert,40392574,RB/FLEX,4000,LV@KC 10/19/2025 01:00PM ET,LV,3.37
QB,Tanner McKee (40392317),Tanner McKee,40392317,QB,4000,PHI@MIN 10/19/2025 01:00PM ET,PHI,0
QB,Sam Howell (40392318),Sam Howell,40392318,QB,4000,PHI@MIN 10/19/2025 01:00PM ET,PHI,0
QB,Kyle McCord (40392319),Kyle McCord,40392319,QB,4000,PHI@MIN 10/19/2025 01:00PM ET,PHI,0
QB,Max Brosmer (40392320),Max Brosmer,40392320,QB,4000,PHI@MIN 10/19/2025 01:00PM ET,MIN,0.53
