Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Trey Palmer (40470554),Trey Palmer,40470554,WR/FLEX,3000,TB@NO 10/26/2025 04:05PM ET,NO,0
WR,Ja'Lynn Polk (40470556),Ja'Lynn Polk,40470556,WR/FLEX,3000,TB@NO 10/26/2025 04:05PM ET,NO,0
WR,Bub Means (40470558),Bub Means,40470558,WR/FLEX,3000,TB@NO 10/26/2025 04:05PM ET,NO,0
WR,Kevin Austin Jr. (40470560),Kevin Austin Jr.,40470560,WR/FLEX,3000,TB@NO 10/26/2025 04:05PM ET,NO,0
WR,Dante Pettis (40470562),Dante Pettis,40470562,WR/FLEX,3000,TB@NO 10/26/2025 04:05PM ET,NO,0
WR,Ronnie Bell (40470564),Ronnie Bell,40470564,WR/FLEX,3000,TB@NO 10/26/2025 04:05PM ET,NO,0
WR,Jaden Smith (40470626),Jaden Smith,40470626,WR/FLEX,3000,TB@NO 10/26/2025 04:05PM ET,TB,0
WR,Garrett Greene (40470628),Garrett Greene,40470628,WR/FLEX,3000,TB@NO 10/26/2025 04:05PM ET,TB,0
WR,Dennis Houston (40470630),Dennis Houston,40470630,WR/FLEX,3000,TB@NO 10/26/2025 04:05PM ET,TB,0
WR,Jonathan Mingo (40470490),Jonathan Mingo,40470490,WR/FLEX,3000,DAL@DEN 10/26/2025 04:25PM ET,DAL,0
WR,Traeshon Holden (40470492),Traeshon Holden,40470492,WR/FLEX,3000,DAL@DEN 10/26/2025 04:25PM ET,DAL,0
WR,Jalen Brooks (40470494),Jalen Brooks,40470494,WR/FLEX,3000,DAL@DEN 10/26/2025 04:25PM ET,DAL,0
WR,Parris Campbell (40470496),Parris Campbell,40470496,WR/FLEX,3000,DAL@DEN 10/26/2025 04:25PM ET,DAL,0
WR,Jalen Cropper (40470498),Jalen Cropper,40470498,WR/FLEX,3000,DAL@DEN 10/26/2025 04:25PM ET,DAL,0
WR,Pat Bryant (40470500),Pat Bryant,40470500,WR/FLEX,3000,DAL@DEN 10/26/2025 04:25PM ET,DEN,1.37
WR,Trent Sherfield Sr. (40470502),Trent Sherfield Sr.,40470502,WR/FLEX,3000,DAL@DEN 10/26/2025 04:25PM ET,DEN,0.73
WR,Samori Toure (40470504),Samori Toure,40470504,WR/FLEX,3000,DAL@DEN 10/26/2025 04:25PM ET,DEN,0
WR,A.T. Perry (40470506),A.T. Perry,40470506,WR/FLEX,3000,DAL@DEN 10/26/2025 04:25PM ET,DEN,0
WR,Michael Bandy (40470508),Michael Bandy,40470508,WR/FLEX,3000,DAL@DEN 10/26/2025 04:25PM ET,DEN,0
WR,Bryce Oliver (40470510),Bryce Oliver,40470510,WR/FLEX,3000,TEN@IND 10/26/2025 04:25PM ET,TEN,0.9
WR,Mason Kinsey (40470512),Mason Kinsey,40470512,WR/FLEX,3000,TEN@IND 10/26/2025 04:25PM ET,TEN,0
WR,James Proche II (40470514),James Proche II,40470514,WR/FLEX,3000,TEN@IND 10/26/2025 04:25PM ET,TEN,0
WR,Xavier Restrepo (40470516),Xavier Restrepo,40470516,WR/FLEX,3000,TEN@IND 10/26/2025 04:25PM ET,TEN,0
WR,Ashton Dulin (40470518),Ashton Dulin,40470518,WR/FLEX,3000,TEN@IND 10/26/2025 04:25PM ET,IND,1.97
WR,Anthony Gould (40470520),Anthony Gould,40470520,WR/FLEX,3000,TEN@IND 10/26/2025 04:25PM ET,IND,0.19
WR,Laquon Treadwell (40470522),Laquon Treadwell,40470522,WR/FLEX,3000,TEN@IND 10/26/2025 04:25PM ET,IND,0
WR,D.J. Montgomery (40470524),D.J. Montgomery,40470524,WR/FLEX,3000,TEN@IND 10/26/2025 04:25PM ET,IND,0
WR,Coleman Owen (40470526),Coleman Owen,40470526,WR/FLEX,3000,TEN@IND 10/26/2025 04:25PM ET,IND,0
TE,Ja'Tavion Sanders (40470704),Ja'Tavion Sanders,40470704,TE/FLEX,2900,BUF@CAR 10/26/2025 01:00PM ET,CAR,5.05
DST,49ers  (40470878),49ers ,40470878,DST,2900,SF@HOU 10/26/2025 01:00PM ET,SF,4.86
TE,Taysom Hill (40470702),Taysom Hill,40470702,TE/FLEX,2900,TB@NO 10/26/2025 04:05PM ET,NO,3.19
DST,Ravens  (40470879),Ravens ,40470879,DST,2800,CHI@BAL 10/26/2025 01:00PM ET,BAL,1.33
TE,Mitchell Evans (40470708),Mitchell Evans,40470708,TE/FLEX,2800,BUF@CAR 10/26/2025 01:00PM ET,CAR,4.29
TE,Dawson Knox (40470710),Dawson Knox,40470710,TE/FLEX,2800,BUF@CAR 10/26/2025 01:00PM ET,BUF,3.38
